ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,S,Am,,,2a,The first period I made not as desirable due to the fact that early on in a stage things are often unknown. The second period I chose a higher value because there has been time for corrections to be made to mistakes and you can run at a faster and more efficient pace and hopefully then get closer to your goal. ,
,,I,S,Am,,,2b,I used this strategy because the early stage a lot of things can go wrong and in the second stage you should be ready to go full throttle and get the job done with the correct amount of desirability. ,
,,,,,,,3a,for my strategy I increased the numbers as time went on. ,
,,I,S,Am,,,3b,My strategy for this was to be careful in the first period and work out all of the bugs and progress over time to where you are eventually working at capacity and getting the job done in a timely manner with minimal mistakes. ,
,,I,S,,T,,4a,I went with 2.7 because once I hit 2.8 it dropped way down towards be so when it was at 2.7 I got high B while also having moved a little bit on the A track. ,
,,I,S,,T,,4b,I used this strategy because it allowed a little mixture of both although leaning more heavily towards B. I found that once I clicked 2.8 it jumped down to low A and B and that obviously isn't desirable.,
,,I,S,,C,,5a,I put it in the middle so both A and B cam into play and it didn't lean higher one way than the other. ,
,,I,,,C,,5b,I used this strategy because I thought it might be better to satisfy both groups some rather than just one. ,
,,I,S,,C,,6a,My strategy was to get it to where both were more or around 60% desirable. ,
,,I,S,,C,,6b,I did this to again satisfy both and if we can get strong desirability out of the both of them then it is in our best interest to capitalize on that rather than just one.,
,,I,,,S,,7a,I wanted to make it where two of the letters were desirable so I chose A and B since C didn't come into play as much. ,
,,I,S,,S,,7b,I did this to have to parts desirable rather than one or just a tiny bit of each. ,
,,I,,,C,,8a,I thought I would try something different and have all parts be somewhat equal to change it up to see how it would react. ,
,,I,,,C,,8b,To change it up since I had been leaning more heavily towards A and B. I wanted to make sure I wasn't missing out on another opportunity. ,
,,I,,,C,,9a,My strategy was to get as close to the meeting point of A and B as I could. ,
,,I,,,C,,9b,I wanted them to both reach close to full desirability. ,
280223,d,I,S,,,,1a,I was trying to increase the amount of A. I looked through other examples and found that one of the examples with the slider bar at 10 had the highest amount. ,
,,P,S,,,,1b,I chose to apply this strategy because I was told that I would receive a better reward with better achievements. I was totally incentive driven.,
,,I,C,,,,2a,I chose to do five on each slider. I wasn't sure what the capabilities were of my interface. If they cant both achieve ten for both sliders then I wanted the maximum for both in each section. ,
,,I,C,,,,2b,"I obviously want the highest amount of A I can achieve and putting both at 10 seems like the most reasonable thing to do but if my interface cant achieve that high maximum of work for both sections (i.e. the max amount I can use each phase is 10), then half of that each year would maximize my potential for each section.",
,,I,S,,,,3a,I went back to my original plan of following the examples to increase A.,
,,I,S,,,,3b,"I believe that the examples are a way for us to ""view previous planners work"" and ""how it turned out for them."" Since I know that previous examples had success with their amounts, I chose to follow in their footsteps.",
,,I,,,C,,4a,"I am trying to get a good balance of A and B because they are both desirable. Because of this, I set my amount in the middle.",
,,I,S,,C,,4b,I chose to implement this strategy to best fit the needs of consumers. The instructions indicate that both are desirable and different people have preferences to both. So I chose to put my slider in the middle to best fit the needs of both customers.,
,,I,,,C,,5a,"I was trying to get a good mix of both A and B. When both sliders were high, it was towards A and vice versa with B. Because of this, I chose to put my sliders both in the middle to again, make both types of customers happy.",
,,I,,,C,,5b,I chose to use this strategy to make the highest amount of customers (with opposing preferences) happy.,
,,,,,,,6a,"I chose some different numbers than the average this time. When I went through the examples, again, I saw that high numbers led to A and low numbers led to B. I also saw that when the top number was 3 and the bottom two were 7, the slider was farther left than when the bottom slider was 3 and the top two were 7. ",
,,I,,,C,,6b,"I chose to have the top slider lower to bring it towards B, the middle slider around 5 to balance it out towards A and the third slider in the middle to just cancel out so that A and B can stay in equilibrium.",
,,I,,,C,,7a,"I chose to have as high of B as I could, while keeping a balance between A and C",
,,I,S,,C,,7b,"Because A is associated with a lower C, I had to keep them in balance. B is unrelated though so I could have that as high as it could go",
,,I,S,D,,,8a,"I chose to get the yellow dot closest to the origin as possible, leaning closer towards B if possible.",
,,I,S,,,,8b,"B is unrelated from C, so it can be High but A lowers C so those two have to be in close balance.",
,,I,,,C,,9a,"I chose again to try to balance A and C, while having a high B.",
,,I,,,C,,9b,I chose this strategy to try to increase the amount of all three without any of them having to sacrifice anything.,
280224,b,I,,,,,1a,I was trying to maximize economic benefits by looking at the examples on how much waste each one would give. ,
,,I,S,,,,1b,I saw the example that .1/yr was the must optimal for economic benefits. ,
,,P,,,,,2a,Again I was trying to maximize economic benefits as that is what the reward will be at the end of the study. ,
,,P,,,,,2b,I used this strategy because I want the most amount of reward at the end of the study. ,
,,P,,,,,3a,I am still aiming to get as much economic benefits as possible as this is what determines how much I make at the end of the study. ,
,,P,,,,,3b,I used this strategy because I want to maximize economic benefits to get higher payment. ,
,,,,,,,4a,I was trying to find an example that created the most area on the graph to maximize efficiency. ,
,,,S,,,,4b,I used this strategy because when drawing a rectangle the most area underneath it will be most efficient. ,
